jisoo,,,,,,,,,,,,
id,img name,Category,Color,Attribute1,Attribute 2,Attribute 3,Similar_img1,Similar_img2,Similar_img3,URL_1,URL_2,URL_3
1,js_1,Dress,76747E,mini_length,crew_neckline,cotton,striped_dress_45.png,striped_dress_61.png,striped_dress_43.png,https://www.amazon.com/Amazon-Essentials-Womens-Standard-Sleeveless/dp/B07YLJLFN4/ref=sr_1_45?dchild=1&keywords=striped+dress&qid=1622537926&s=apparel&sr=1-45,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_fashion-womens-clothing_sr_pg2_1?ie=UTF8&adId=A07723792F2HM760Z0NX5&url=%2FCNFIO-Dresses-Oversized-Striped-Pockets%2Fdp%2FB0859XV3JV%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dstriped%2Bdress%26qid%3D1622537937%26s%3Dapparel%26sr%3D1-49-spons%26psc%3D1%26smid%3DA3L367MQ3UOE1V&qualifier=1622537937&id=8709605469290481&widgetName=sp_atf_next,https://www.amazon.com/Lacoste-Womens-Sleeve-Striped-Blueflour/dp/B07SX8T3CX/ref=sr_1_43?dchild=1&keywords=striped+dress&qid=1622537926&s=apparel&sr=1-43
2,js_2,Cardigan,FDF9F2,crew_neckline,cotton,long_sleeve,white_cardigan_16.png,white_cardigan_82.png,white_cardigan_23.png,https://www.amazon.com/Women-Button-Cardigan-Sweater-Outwear/dp/B07W3S7VSL/ref=sr_1_16?dchild=1&keywords=white+cardigan&qid=1622595697&rnid=2941120011&s=apparel&sr=1-16,https://www.amazon.com/CPOKRTWSO-Womens-Sweater-Cardigan-Lightweight/dp/B07ZFZWDPJ/ref=sr_1_70?dchild=1&keywords=white+cardigan&qid=1622595710&rnid=2941120011&s=apparel&sr=1-70,https://www.amazon.com/GRACE-KARIN-Sweater-Cardigans-Juniors/dp/B07D35YBGW/ref=sr_1_23?dchild=1&keywords=white+cardigan&qid=1622595697&rnid=2941120011&s=apparel&sr=1-23
3,js_3,Shorts,C1C5DC,mini_length,cotton,loose,denim_shorts_75.png,denim_shorts_33.png,denim_shorts_26.png,https://www.amazon.com/Plaid-Plain-Womens-Waisted-Shorts/dp/B0725NN3CT/ref=sr_1_63?dchild=1&keywords=denim+shorts&qid=1622544579&s=apparel&sr=1-63,https://www.amazon.com/Vetinee-Womens-Summer-Distressed-Bermuda/dp/B092VXDV4H/ref=sr_1_33_sspa?dchild=1&keywords=denim+shorts&qid=1622544568&s=apparel&sr=1-33-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUEJSVVNNV0NPSE01JmVuY3J5cHRlZElkPUEwNTI4NzgxMTBSUUNRTjRFNElCNSZlbmNyeXB0ZWRBZElkPUExMDIwOTE0MkQzME4zSDNFSVpVSiZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,https://www.amazon.com/Milumia-Womens-Casual-Rolled-5-Pockets/dp/B07P7JF8DY/ref=sr_1_26?dchild=1&keywords=denim+shorts&qid=1622544568&s=apparel&sr=1-26
4,js_5,Dress,171D20,short_sleeve,mini_length,cotton,black_floral_dress_45.png,black_floral_dress_75.png,black_floral_dress_4.png,https://www.amazon.com/ECOWISH-Sleeve-Floral-Pattern-Irregular/dp/B081S2KD6J/ref=sr_1_45?dchild=1&keywords=black+floral+dress&qid=1622615438&s=fashion-womens-intl-ship&sr=1-45,https://www.amazon.com/BTFBM-Dresses-Sleeveless-Leopard-X-Large/dp/B08QS32ZY3/ref=sr_1_75?dchild=1&keywords=black+floral+dress&qid=1622615450&s=fashion-womens-intl-ship&sr=1-75,https://www.amazon.com/Relipop-Summer-Sleeve-Casual-Dresses/dp/B07FF4VHV9/ref=sr_1_4?dchild=1&keywords=black+floral+dress&qid=1622615438&s=fashion-womens-intl-ship&sr=1-44
5,js_9,Dress,EFCB59,square_neckline,short_sleeve,maxi_length,yellow_puff_sleeve_dress_7.png,yellow_puff_sleeve_dress_64.png,yellow_puff_sleeve_dress_76.png,https://www.amazon.com/Lark-Ro-Womens-Romantic-Sleeve/dp/B07YM2RW3K/ref=sr_1_7?dchild=1&keywords=puff+sleeve+dress&qid=1622617953&refinements=p_n_size_browse-vebin%3A2343358011%7C2343364011&rnid=2343347011&s=fashion-womens-intl-ship&sr=1-7,https://www.amazon.com/Kormei-Ruffled-Vintage-Elegant-Backless/dp/B08T8TCV3W/ref=sr_1_64?dchild=1&keywords=puff+sleeve+dress&qid=1622617962&refinements=p_n_size_browse-vebin%3A2343358011%7C2343364011&rnid=2343347011&s=fashion-womens-intl-ship&sr=1-64,https://www.amazon.com/Verdusa-Womens-Guipure-Shoulder-Bodycon/dp/B08F526DWT/ref=sr_1_76?dchild=1&keywords=puff+sleeve+dress&qid=1622617962&refinements=p_n_size_browse-vebin%3A2343358011%7C2343364011&rnid=2343347011&s=fashion-womens-intl-ship&sr=1-76
6,js_11,Dress,1E1B22,crew_neckline,mini_length,short_sleeve,lace_dress_90.png,lace_dress_51.png,lace_dress_69.png,https://www.amazon.com/Miusol-Womens-Vintage-Floral-Cocktail/dp/B01MUS3J9X/ref=sr_1_78?dchild=1&keywords=lace+dress&qid=1622539081&s=apparel&sr=1-78,https://www.amazon.com/MAKEMECHIC-Womens-Casual-Crewneck-Chiffon/dp/B06XRSZWKC/ref=sr_1_51?dchild=1&keywords=lace+dress&qid=1622539068&s=apparel&sr=1-51,https://www.amazon.com/VFSHOW-Womens-Floral-Shoulder-Sleeve/dp/B07JX7HK3D/ref=sr_1_57?dchild=1&keywords=lace+dress&qid=1622539081&s=apparel&sr=1-57
7,js_18,Jacket,4A4C4D,solid,long_sleeve,cotton,grey_blazer_55.png,grey_blazer_52.png,grey_blazer_26.png,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_fashion-womens-clothing_sr_pg1_1?ie=UTF8&adId=A013320017F0ATNOU78YI&url=%2FCicy-Bell-Blazers-Jackets-X-Large%2Fdp%2FB082CN92JZ%2Fref%3Dsr_1_55_sspa%3Fdchild%3D1%26keywords%3Dtwo%2Bbutton%2Bblazer%26qid%3D1622621720%26refinements%3Dp_n_size_browse-vebin%253A2343354011%26rnid%3D2343347011%26s%3Dapparel%26sr%3D1-55-spons%26psc%3D1%26smid%3DA24PX1KQ5C5Z58&qualifier=1622621720&id=7112619838532147&widgetName=sp_btf,https://www.amazon.com/Boston-Proper-Beyond-Travel-Boyfriend/dp/B088SXB34V/ref=sr_1_52?dchild=1&keywords=two+button+blazer&qid=1622621720&refinements=p_n_size_browse-vebin%3A2343354011&rnid=2343347011&s=apparel&sr=1-52,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_fashion-womens-clothing_sr_pg1_1?ie=UTF8&adId=A09148001LNHPHVY0P0MV&url=%2FCicy-Bell-Womens-Casual-Buttons%2Fdp%2FB08DHF56KH%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26keywords%3Dtwo%2Bbutton%2Bblazer%26qid%3D1622621720%26refinements%3Dp_n_size_browse-vebin%253A2343354011%26rnid%3D2343347011%26s%3Dapparel%26sr%3D1-26-spons%26psc%3D1%26smid%3DA24PX1KQ5C5Z58&qualifier=1622621720&id=7112619838532147&widgetName=sp_mtf
8,js_new_1,Blazer,DFDCE1,solid,long_sleeve,cotton,beige_blazer_42.png,beige_blazer_43.png,beige_blazer_25.png,https://www.amazon.com/Ofenbuy-Womens-Lightweight-Cardigan-Blazers/dp/B07PVNJXF2/ref=sr_1_42?dchild=1&keywords=blazer&qid=1622698215&refinements=p_n_size_browse-vebin%3A2343348011&rnid=2343347011&s=fashion-womens-intl-ship&sr=1-42,https://www.amazon.com/Tahari-ASL-Womens-Button-Striped/dp/B083LVNWR6/ref=sr_1_43?dchild=1&keywords=blazer&qid=1622698215&refinements=p_n_size_browse-vebin%3A2343348011&rnid=2343347011&s=fashion-womens-intl-ship&sr=1-43,https://www.amazon.com/Tahari-Womens-Riesling-Stretch-Blazer/dp/B078YQZN4Z/ref=sr_1_25?dchild=1&keywords=blazer&qid=1622698215&refinements=p_n_size_browse-vebin%3A2343348011&rnid=2343347011&s=fashion-womens-intl-ship&sr=1-25
9,js_new_8,Dress,D7C5E2,crew_neckline,short_sleeve,maxi_length,purple_puff_sleeve_dress_31.png,purple_puff_sleeve_dress_37.png,purple_puff_sleeve_dress_8.png,https://www.amazon.com/Vintage-Ruffled-Cottage-Peasant-Shoulder/dp/B091CPVKCG/ref=sr_1_31?dchild=1&keywords=puff+sleeve+dress&qid=1622699774&refinements=p_n_size_browse-vebin%3A2343360011&rnid=2343347011&s=apparel&sr=1-31,https://www.amazon.com/New-Puff-Sleeve-Belted-Sheath-Purple/dp/B08RPCB8TN/ref=sr_1_37?dchild=1&keywords=puff+sleeve+dress&qid=1622699774&refinements=p_n_size_browse-vebin%3A2343360011&rnid=2343347011&s=apparel&sr=1-37,https://www.amazon.com/Milumia-Womens-Lettuce-Bodycon-X-Large/dp/B08QHBQGVB/ref=sr_1_8?dchild=1&keywords=puff+sleeve+dress&qid=1622699774&refinements=p_n_size_browse-vebin%3A2343360011&rnid=2343347011&s=apparel&sr=1-8
10,js_new_10,Tee,E7EDF4,cotton,crew_neckline,long_sleeve,white_crop_tee_42.png,white_crop_tee_10.png,white_crop_tee_8.png,https://www.amazon.com/Muzniuer-Sleeve-Basic-Solid-Thumb/dp/B08NHQPXYD/ref=sr_1_42?dchild=1&keywords=long+sleeve+crop&qid=1622703634&refinements=p_n_size_browse-vebin%3A2343363011&rnid=2343347011&s=apparel&sr=1-42,https://www.amazon.com/SweatyRocks-Womens-Sleeve-T-Shirt-1-White/dp/B07HGQVKSG/ref=sr_1_10?dchild=1&keywords=long+sleeve+crop&qid=1622703634&refinements=p_n_size_browse-vebin%3A2343363011&rnid=2343347011&s=apparel&sr=1-10,https://www.amazon.com/Womens-Ribbed-Round-Sleeve-Ruched/dp/B08LP73JZ8/ref=sr_1_8?dchild=1&keywords=long+sleeve+crop&qid=1622703634&refinements=p_n_size_browse-vebin%3A2343363011&rnid=2343347011&s=apparel&sr=1-8
